;mint;hprd;dip;bind;intact;bind_translation;mpact;mbinfo;intcomplex;uniprotpp;corum;innatedb;bhf_ucl;hpidb;matrixdb;bar;mpidb
mint;3337;4;46;20;3326;0;8;0;47;13;45;2;0;1;27;0;0
hprd;;1449;5;3;24;0;0;0;8;7;39;0;0;0;0;0;0
dip;;;4781;589;3044;1;25;0;68;27;75;7;2;1;14;1;3
bind;;;;1430;191;31;24;0;67;28;63;1;0;0;0;0;0
intact;;;;;28754;5;36;43;277;1648;278;33;105;228;797;35;95
bind_translation;;;;;;58;0;0;0;3;3;0;0;0;0;0;0
mpact;;;;;;;879;0;26;1;0;0;0;0;0;0;0
mbinfo;;;;;;;;43;0;0;3;0;0;0;0;0;0
intcomplex;;;;;;;;;1602;48;101;3;5;0;0;2;3
uniprotpp;;;;;;;;;;1704;59;3;0;0;21;0;0
corum;;;;;;;;;;;2607;14;3;0;0;1;0
innatedb;;;;;;;;;;;;1487;1;0;0;0;0
bhf_ucl;;;;;;;;;;;;;113;0;3;41;0
hpidb;;;;;;;;;;;;;;232;0;0;0
matrixdb;;;;;;;;;;;;;;;1004;0;0
bar;;;;;;;;;;;;;;;;41;0
mpidb;;;;;;;;;;;;;;;;;95
Exclusive to source;11;1391;1251;665;19325;25;820;0;1238;50;2195;1443;0;4;206;0;0
