 source |                         filename                         | entry |         scope         | parentid | property |  reftype   |    refvalue    | dblabel | dbcode  |   reftypelabel    | reftypecode 
--------+----------------------------------------------------------+-------+-----------------------+----------+----------+------------+----------------+---------+---------+-------------------+-------------
 INTACT | /data/irdata18/IntAct/24695225.xml                       |     0 | experimentDescription | 1527253  | bibref   | primaryRef | unassigned1054 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/25678599.xml                       |     0 | experimentDescription | 1258537  | bibref   | primaryRef | unassigned650  | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/25448674.xml                       |     0 | experimentDescription | 1597260  | bibref   | primaryRef | unassigned1234 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/25448674.xml                       |     0 | experimentDescription | 1597261  | bibref   | primaryRef | unassigned1234 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/25678599.xml                       |     0 | experimentDescription | 1258536  | bibref   | primaryRef | unassigned650  | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/25678599.xml                       |     0 | experimentDescription | 1258538  | bibref   | primaryRef | unassigned650  | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/25678599.xml                       |     0 | experimentDescription | 1258539  | bibref   | primaryRef | unassigned650  | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26287972.xml                       |     0 | experimentDescription | 1823104  | bibref   | primaryRef | unassigned1265 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/25877921.xml                       |     0 | experimentDescription | 1815788  | bibref   | primaryRef | unassigned1262 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/25877921.xml                       |     0 | experimentDescription | 1815789  | bibref   | primaryRef | unassigned1262 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/25877921.xml                       |     0 | experimentDescription | 1815790  | bibref   | primaryRef | unassigned1262 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/25877921.xml                       |     0 | experimentDescription | 1815791  | bibref   | primaryRef | unassigned1262 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26287972.xml                       |     0 | experimentDescription | 1823105  | bibref   | primaryRef | unassigned1265 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26463011.xml                       |     0 | experimentDescription | 1804438  | bibref   | primaryRef | unassigned1257 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26463011.xml                       |     0 | experimentDescription | 1804439  | bibref   | primaryRef | unassigned1257 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26463011.xml                       |     0 | experimentDescription | 1804440  | bibref   | primaryRef | unassigned1257 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26752685.xml                       |     0 | experimentDescription | 1807712  | bibref   | primaryRef | unassigned1260 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26638075.xml                       |     0 | experimentDescription | 1888734  | bibref   | primaryRef | unassigned1272 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26463011.xml                       |     0 | experimentDescription | 1804441  | bibref   | primaryRef | unassigned1257 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26752685.xml                       |     0 | experimentDescription | 1807710  | bibref   | primaryRef | unassigned1260 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26752685.xml                       |     0 | experimentDescription | 1807711  | bibref   | primaryRef | unassigned1260 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26780296.xml                       |     0 | experimentDescription | 1898572  | bibref   | primaryRef | unassigned1274 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26780296.xml                       |     0 | experimentDescription | 1898570  | bibref   | primaryRef | unassigned1274 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26780296.xml                       |     0 | experimentDescription | 1898571  | bibref   | primaryRef | unassigned1274 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26780296.xml                       |     0 | experimentDescription | 1898573  | bibref   | primaryRef | unassigned1274 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/26780296.xml                       |     0 | experimentDescription | 1898574  | bibref   | primaryRef | unassigned1274 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/27334688.xml                       |     0 | experimentDescription | 1921931  | bibref   | primaryRef | unassigned1280 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/27107014_01.xml                    |     0 | experimentDescription | 1915088  | bibref   | primaryRef | unassigned1279 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/27334688.xml                       |     0 | experimentDescription | 1921928  | bibref   | primaryRef | unassigned1280 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/27334688.xml                       |     0 | experimentDescription | 1921929  | bibref   | primaryRef | unassigned1280 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/27334688.xml                       |     0 | experimentDescription | 1921930  | bibref   | primaryRef | unassigned1280 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/27334688.xml                       |     0 | experimentDescription | 1921934  | bibref   | primaryRef | unassigned1280 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/27334688.xml                       |     0 | experimentDescription | 1921935  | bibref   | primaryRef | unassigned1280 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/27040869.xml                       |     0 | experimentDescription | 1910590  | bibref   | primaryRef | unassigned1277 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/27107014_01.xml                    |     0 | experimentDescription | 1915087  | bibref   | primaryRef | unassigned1279 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/27334688.xml                       |     0 | experimentDescription | 1921926  | bibref   | primaryRef | unassigned1280 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/27334688.xml                       |     0 | experimentDescription | 1921927  | bibref   | primaryRef | unassigned1280 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/27334688.xml                       |     0 | experimentDescription | 1921932  | bibref   | primaryRef | unassigned1280 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/27334688.xml                       |     0 | experimentDescription | 1921933  | bibref   | primaryRef | unassigned1280 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28030805.xml                       |     0 | experimentDescription | 1589744  | bibref   | primaryRef | unassigned1174 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28030805.xml                       |     0 | experimentDescription | 1589741  | bibref   | primaryRef | unassigned1174 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28030805.xml                       |     0 | experimentDescription | 1589742  | bibref   | primaryRef | unassigned1174 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28030805.xml                       |     0 | experimentDescription | 1589743  | bibref   | primaryRef | unassigned1174 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28030805.xml                       |     0 | experimentDescription | 1589738  | bibref   | primaryRef | unassigned1174 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28030805.xml                       |     0 | experimentDescription | 1589739  | bibref   | primaryRef | unassigned1174 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28030805.xml                       |     0 | experimentDescription | 1589740  | bibref   | primaryRef | unassigned1174 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28030805.xml                       |     0 | experimentDescription | 1589748  | bibref   | primaryRef | unassigned1174 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28030805.xml                       |     0 | experimentDescription | 1589745  | bibref   | primaryRef | unassigned1174 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28030805.xml                       |     0 | experimentDescription | 1589746  | bibref   | primaryRef | unassigned1174 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28030805.xml                       |     0 | experimentDescription | 1589747  | bibref   | primaryRef | unassigned1174 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28169297.xml                       |     0 | experimentDescription | 2885717  | bibref   | primaryRef | unassigned1333 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28169297.xml                       |     0 | experimentDescription | 2885720  | bibref   | primaryRef | unassigned1333 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28169297.xml                       |     0 | experimentDescription | 2885721  | bibref   | primaryRef | unassigned1333 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28169297.xml                       |     0 | experimentDescription | 2885718  | bibref   | primaryRef | unassigned1333 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28169297.xml                       |     0 | experimentDescription | 2885719  | bibref   | primaryRef | unassigned1333 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28178521.xml                       |     0 | experimentDescription | 2899220  | bibref   | primaryRef | unassigned1353 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28178521.xml                       |     0 | experimentDescription | 2899222  | bibref   | primaryRef | unassigned1353 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28437395.xml                       |     0 | experimentDescription | 2899399  | bibref   | primaryRef | unassigned1354 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28580172.xml                       |     0 | experimentDescription | 2903789  | bibref   | primaryRef | unassigned1373 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28611246.xml                       |     0 | experimentDescription | 2853042  | bibref   | primaryRef | unassigned1311 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28611246.xml                       |     0 | experimentDescription | 2853039  | bibref   | primaryRef | unassigned1311 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28611246.xml                       |     0 | experimentDescription | 2853036  | bibref   | primaryRef | unassigned1311 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28611246.xml                       |     0 | experimentDescription | 2853037  | bibref   | primaryRef | unassigned1311 | pubmed  | MI:0446 | primary-reference | MI:0358
 INTACT | /data/irdata18/IntAct/28611246.xml                       |     0 | experimentDescription | 2853038  | bibref   | primaryRef | unassigned1311 | pubmed  | MI:0446 | primary-reference | MI:0358
